date	level	fs	pool	sizeGb	usedGb	freeGb	Capacity	Exclude	Notes
2014-04-19	0	all	osprey_backup2	456	247	208	54%		
2014-05-04	1	all	osprey_backup2	456	274	182	60%		
2014-05-07	0	all	osprey_backup3	456	260	195	57%		
2014-06-11	2	all	osprey_backup3	456	-1	-1	-1		
2014-07-06	2	all	osprey_backup3	456	-1	-1	-1		
2014-06-20	3	all	osprey_backup3	456	-1	-1	-1		
2014-07-06	2	all	osprey_backup3	456	-1	-1	-1		
2014-07-18	3	all	osprey_backup3	456	-1	-1	-1		
2014-08-13	2	all	osprey_backup3	456	417	39	91%		
2014-08-15	-	immute	osprey_archive1	3653	243	3410	7%		
2014-09-01	-	immute	osprey_archive1	3653	247	3406	7%		
2014-09-12	-	immute	osprey_archive1	3653	248	3405	7%		
2015-01-12	-	immute	osprey_archive2	3653	349	3304	10%		
2015-01-15	0	all	osprey_backup2	456	120	336	26%	photos	
2015-02-13	1	all	osprey_backup2	456	133	322	29%	photos	
2015-02-13	-	immute	osprey_archive1	3653	620	3033	17%		
2015-04-20	zfs	all	osprey_zackup1a	5.44T	631G	4.82T	11%	
2016-02-07	zfs	all	osprey_zackup1b	3.62T	1.60T	2.03T	44%
